TicketKey,File
OPENJPA-1067,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java
OPENJPA-1067,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java
OPENJPA-1067,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java
OPENJPA-1072,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java
OPENJPA-1072,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerCollectionTableFieldStrategy.java
OPENJPA-1074,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerCollectionTableFieldStrategy.java
OPENJPA-1074,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java
OPENJPA-1074,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyTableFieldStrategy.java
OPENJPA-1097,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java
OPENJPA-1097,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java
OPENJPA-1097,openjpa-kernel/src/main/java/org/apache/openjpa/util/Proxies.java
OPENJPA-1100,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java
OPENJPA-1116,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java
OPENJPA-1119,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/InstrumentationFactory.java
OPENJPA-112,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java
OPENJPA-1120,openjpa-kernel/src/main/java/org/apache/openjpa/util/BigDecimalId.java
OPENJPA-1120,openjpa-kernel/src/main/java/org/apache/openjpa/util/BigIntegerId.java
OPENJPA-1121,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/TemporaryClassLoader.java
