Release,File,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NSmells,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg,Buggy
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Param.java,4,6,2,4,7,2,0,1,11,0.6666667,0.0,0.0,7,0,6,0,1,0,7,0,0,0,3,0,0,3,0,0,0,0,0,27,4,0,0,0,0,0,1,7,0,3,0,0,0,0,30,0,0,0,5,2,146,74,29.2,80,69,16.0,226,143,45.2,928,552.8,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/ee/WLSManagedRuntime.java,2,3,1,2,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,13,1,0,0,0,0,3,0,4,0,4,0,0,0,0,33,1,0,0,4,1,92,48,23.0,44,43,11.0,136,91,34.0,928,668.5,Yes
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractDB2Dictionary.java,3,5,2,3,5,2,2,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,2,0,0,29,0,26,0,0,1,0,0,0,95,1025,0,0,3,2,97,95,32.333333333333336,0,0,0.0,97,95,32.333333333333336,928,457.6666666666667,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNonTransDeletedState.java,2,3,1,2,12,2,0,1,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,38,12,0,0,0,0,6,0,0,0,0,0,0,0,0,45,1,0,0,5,2,153,77,30.6,77,72,15.4,230,149,46.0,928,540.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,6,7,1,6,1,2,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,9,0,0,0,0,0,3,2,1,0,1,0,0,0,0,57,1,0,0,2,1,58,58,29.0,0,0,0.0,58,58,29.0,928,686.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java,5,6,1,5,3,2,0,3,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1,0,0,1,0,1,0,0,0,0,35,0,0,0,3,2,46,44,15.333333333333334,2,2,0.6666666666666666,48,44,16.0,928,483.6666666666667,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/ant/ApplicationIdToolTask.java,7,7,0,7,10,2,0,4,0,0.5,0.0,0.0,9,0,7,0,2,0,9,0,0,0,2,0,0,0,2,0,0,0,1,32,2,0,1,0,1,0,0,9,0,2,0,0,0,0,95,1,0,0,2,2,109,94,54.5,0,0,0.0,109,94,54.5,22,16.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,2,3,1,2,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,2,1,34,34,17.0,0,0,0.0,34,34,17.0,928,686.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNonTransNewState.java,2,3,1,2,8,2,0,2,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,5,2,121,61,24.2,61,56,12.2,182,117,36.4,928,540.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java,2,3,1,2,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,2,1,34,34,17.0,0,0,0.0,34,34,17.0,928,686.0,No
