TicketKey,AVs
OPENJPA-913,1.2.0;2.0.0-M1
OPENJPA-916,1.1.0;1.0.3;1.2.0;2.0.0-M1
OPENJPA-917,1.2.0;2.0.0-M1
OPENJPA-922,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-925,1.2.0;2.0.0-M1
OPENJPA-932,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-933,1.2.0;2.0.0-M1;1.2.1
OPENJPA-934,2.0.0-M2
OPENJPA-935,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-940,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-944,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-947,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-951,1.2.1
OPENJPA-955,1.2.0;2.0.0-M1
OPENJPA-970,1.2.0;2.0.0-M1
OPENJPA-973,2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-98,0.9.6
OPENJPA-981,1.2.1
OPENJPA-993,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3
