TicketKey,AVs
OPENJPA-1384,1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-1385,2.0.0-M3
OPENJPA-1386,2.0.0-M3
OPENJPA-1387,2.0.0-M3;1.2.2
OPENJPA-139,0.9.6
OPENJPA-1390,2.0.0-M3
OPENJPA-1391,2.0.0-M3
OPENJPA-1392,2.0.0-M3
OPENJPA-1393,2.0.0-M3
OPENJPA-1394,2.0.0-M3
OPENJPA-1396,2.0.0-M3
OPENJPA-1397,1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-140,0.9.6
OPENJPA-1400,1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-1401,2.0.0-M3
OPENJPA-1407,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-1409,2.0.0-M3;1.2.2
OPENJPA-1410,2.0.0-M3;1.2.2
OPENJPA-1413,2.0.0-M3
OPENJPA-142,0.9.6
OPENJPA-1424,1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1425,2.0.0-M3;1.2.2
OPENJPA-143,0.9.7
OPENJPA-1431,2.0.0-M3
OPENJPA-1432,2.0.0-M3;1.2.2
OPENJPA-1435,2.0.0-M3
OPENJPA-144,0.9.6
OPENJPA-1442,2.0.0-M3
OPENJPA-1452,2.0.0-M3
OPENJPA-1454,2.0.0-M3;1.2.2
OPENJPA-1458,2.0.0-M3;1.2.2
OPENJPA-146,0.9.6
OPENJPA-1460,2.0.0-M3;1.2.2
OPENJPA-1461,2.0.0-M3
OPENJPA-1463,2.0.0-M3
OPENJPA-1464,2.0.0-M3;1.2.2
OPENJPA-1467,2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1477,1.2.2
OPENJPA-1478,2.0.0-M3;1.2.2
OPENJPA-148,0.9.7
OPENJPA-1482,2.0.0-M3;1.2.2
OPENJPA-150,0.9.6
OPENJPA-1500,1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1501,1.2.2
OPENJPA-1509,2.0.0-M3;1.2.2
OPENJPA-1535,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-154,0.9.6
OPENJPA-1547,1.2.2
OPENJPA-155,0.9.6
OPENJPA-1550,1.2.2
OPENJPA-1565,2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1569,1.2.2
OPENJPA-157,0.9.6
OPENJPA-1583,2.0.0-M3;1.2.2
OPENJPA-1590,2.0.0-M3;1.2.2
OPENJPA-16,0.9.6
OPENJPA-162,0.9.6
OPENJPA-1626,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1630,1.2.2
OPENJPA-1631,1.2.2
OPENJPA-1644,1.2.2
OPENJPA-1646,1.2.2
OPENJPA-165,0.9.7
OPENJPA-1668,1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1670,1.2.2
OPENJPA-1678,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1691,1.2.2
OPENJPA-1695,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1702,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1704,1.2.2
OPENJPA-1713,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1725,1.2.2
OPENJPA-173,0.9.6;0.9.7
OPENJPA-174,0.9.6
OPENJPA-1743,1.2.2
OPENJPA-1746,1.2.2
OPENJPA-175,0.9.6
OPENJPA-177,0.9.6;0.9.7
OPENJPA-179,0.9.6
OPENJPA-180,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-1814,1.2.2
OPENJPA-185,0.9.6
OPENJPA-1874,1.2.2
OPENJPA-1905,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1911,1.2.2
OPENJPA-1928,1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1939,1.2.2
OPENJPA-1944,1.2.2
OPENJPA-1954,1.2.2
OPENJPA-1957,1.2.2
OPENJPA-1958,1.2.2
OPENJPA-1959,1.2.2
OPENJPA-1970,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1979,2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-199,0.9.7
OPENJPA-1993,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-20,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-200,0.9.7;1.0.0;1.0.1
OPENJPA-2006,1.2.2
OPENJPA-2009,1.2.2
OPENJPA-2015,1.2.2
OPENJPA-203,0.9.6;0.9.7
OPENJPA-2066,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-207,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-2072,1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-208,0.9.6
OPENJPA-209,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-21,0.9.6
OPENJPA-210,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-2110,1.2.2
OPENJPA-218,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-219,0.9.6
OPENJPA-22,0.9.6
OPENJPA-220,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-2212,1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-222,0.9.7
OPENJPA-228,0.9.6
OPENJPA-229,0.9.6
OPENJPA-23,0.9.6
OPENJPA-230,0.9.6;0.9.7
OPENJPA-231,0.9.7;1.0.0;1.0.1;1.0.2
OPENJPA-233,0.9.7
OPENJPA-237,0.9.7
OPENJPA-24,0.9.6
OPENJPA-241,1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-245,0.9.6;0.9.7;1.0.0;1.0.1
OPENJPA-248,0.9.7
OPENJPA-25,0.9.6
OPENJPA-251,0.9.7;1.0.0;1.0.1
OPENJPA-255,0.9.7;1.0.0;1.0.1;1.0.2
OPENJPA-256,0.9.7
OPENJPA-258,0.9.6;0.9.7;1.0.0;1.0.1
OPENJPA-261,0.9.7
OPENJPA-2616,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-2645,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-269,0.9.7
OPENJPA-272,0.9.7
OPENJPA-274,0.9.6;0.9.7
OPENJPA-278,0.9.6;0.9.7
OPENJPA-28,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-281,0.9.7
OPENJPA-282,0.9.7;1.0.0
OPENJPA-283,0.9.7
OPENJPA-286,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-287,0.9.7
OPENJPA-295,0.9.6;0.9.7
OPENJPA-296,0.9.6;0.9.7
OPENJPA-303,0.9.7
OPENJPA-304,0.9.7
OPENJPA-308,0.9.6;0.9.7
OPENJPA-311,0.9.6;0.9.7
OPENJPA-313,0.9.7
OPENJPA-314,0.9.7
OPENJPA-315,0.9.7;1.0.0
OPENJPA-320,0.9.7
OPENJPA-321,0.9.7
OPENJPA-325,0.9.6;0.9.7
OPENJPA-326,0.9.7;1.0.0
OPENJPA-327,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-329,0.9.7;1.0.0;1.0.1
OPENJPA-331,0.9.7;1.0.0;1.0.1
OPENJPA-335,1.0.0
OPENJPA-339,0.9.7;1.0.0
OPENJPA-340,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-343,0.9.7;1.0.0
OPENJPA-345,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-346,1.0.0
OPENJPA-347,1.0.0
OPENJPA-349,1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-35,0.9.6
OPENJPA-353,1.0.0
OPENJPA-354,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-355,1.0.0
OPENJPA-356,0.9.6;0.9.7;1.0.0
OPENJPA-357,0.9.7;1.0.0
OPENJPA-358,0.9.7;1.0.0
OPENJPA-359,1.0.0;1.0.1;1.0.2
OPENJPA-360,1.0.0
OPENJPA-361,1.0.0
OPENJPA-363,0.9.6;0.9.7;1.0.0
OPENJPA-365,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-366,1.0.0;1.0.1
OPENJPA-367,1.0.0
OPENJPA-368,0.9.7;1.0.0
OPENJPA-369,1.0.0
OPENJPA-375,1.0.0
OPENJPA-378,1.0.0
OPENJPA-379,0.9.6;0.9.7;1.0.0
OPENJPA-380,0.9.6;0.9.7;1.0.0
OPENJPA-382,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-385,1.0.0
OPENJPA-386,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-387,1.0.0
OPENJPA-388,1.0.0
OPENJPA-389,1.0.0
OPENJPA-392,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2
OPENJPA-393,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-395,1.0.0
OPENJPA-396,1.0.0
OPENJPA-397,1.0.0
OPENJPA-399,1.0.1
OPENJPA-401,1.0.0;1.0.1
OPENJPA-405,1.0.0
OPENJPA-409,1.0.0
OPENJPA-41,0.9.6
OPENJPA-410,1.0.0
OPENJPA-413,1.0.0
OPENJPA-416,0.9.6;0.9.7;1.0.0
OPENJPA-419,0.9.6;0.9.7;1.0.0;1.0.1
OPENJPA-420,1.0.0;1.0.1
OPENJPA-421,1.0.0
OPENJPA-422,1.0.0
OPENJPA-423,0.9.6;0.9.7;1.0.0
