Release,File,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyMap.java,3,2,444,430,148.0,22,22,7.333333333333333,466,430,155.33333333333334,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MapTableFieldStrategy.java,3,2,183,175,61.0,9,9,3.0,192,175,64.0,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedBlobFieldStrategy.java,3,1,105,104,35.0,1,1,0.3333333333333333,106,104,35.333333333333336,928,531.3333333333334
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedByteArrayFieldStrategy.java,3,1,94,93,31.333333333333332,1,1,0.3333333333333333,95,93,31.666666666666668,928,531.3333333333334
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedCharArrayFieldStrategy.java,3,1,111,110,37.0,1,1,0.3333333333333333,112,110,37.333333333333336,928,531.3333333333334
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedClobFieldStrategy.java,3,1,81,80,27.0,1,1,0.3333333333333333,82,80,27.333333333333332,928,531.3333333333334
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedLobFieldStrategy.java,4,2,265,260,66.25,7,6,1.75,272,260,68.0,928,432.75
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneClassStrategy.java,2,1,86,86,43.0,0,0,0.0,86,86,43.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneDiscriminatorStrategy.java,2,1,55,55,27.5,0,0,0.0,55,55,27.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneFieldStrategy.java,2,1,51,51,25.5,0,0,0.0,51,51,25.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneVersionStrategy.java,2,1,52,52,26.0,0,0,0.0,52,52,26.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NumberVersionStrategy.java,2,1,60,60,30.0,0,0,0.0,60,60,30.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ObjectIdClassStrategy.java,2,1,46,46,23.0,0,0,0.0,46,46,23.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ObjectIdValueHandler.java,3,1,82,81,27.333333333333332,1,1,0.3333333333333333,83,81,27.666666666666668,928,531.3333333333334
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveFieldStrategy.java,5,2,408,400,81.6,8,5,1.6,416,400,83.2,928,352.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveWrapperArrays.java,2,1,85,85,42.5,0,0,0.0,85,85,42.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationCollectionInverseKeyFieldStrategy.java,3,2,99,94,33.0,5,5,1.6666666666666667,104,94,34.666666666666664,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationCollectionTableFieldStrategy.java,3,2,98,93,32.666666666666664,5,5,1.6666666666666667,103,93,34.333333333333336,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java,12,2,921,731,76.75,62,29,5.166666666666667,983,731,81.91666666666667,928,151.16666666666666
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapInverseKeyFieldStrategy.java,3,2,181,170,60.333333333333336,14,14,4.666666666666667,195,170,65.0,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapTableFieldStrategy.java,3,2,181,170,60.333333333333336,14,14,4.666666666666667,195,170,65.0,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationStrategies.java,3,2,208,207,69.33333333333333,1,1,0.3333333333333333,209,207,69.66666666666667,928,458.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java,8,2,368,309,46.0,29,12,3.625,397,309,49.625,928,194.5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyTableFieldStrategy.java,5,2,288,276,57.6,21,11,4.2,309,276,61.8,928,311.2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy.java,3,2,343,321,114.33333333333333,20,20,6.666666666666667,363,321,121.0,928,459.3333333333333
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StoreCollectionFieldStrategy.java,3,2,553,527,184.33333333333334,35,35,11.666666666666666,588,527,196.0,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StringFieldStrategy.java,5,2,263,257,52.6,7,5,1.4,270,257,54.0,928,352.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SubclassJoinDiscriminatorStrategy.java,3,2,165,161,55.0,3,3,1.0,168,161,56.0,928,465.6666666666667
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SuperclassDiscriminatorStrategy.java,4,2,77,62,19.25,8,4,2.0,85,62,21.25,928,350.75
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SuperclassVersionStrategy.java,2,1,48,48,24.0,0,0,0.0,48,48,24.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/TimestampVersionStrategy.java,2,1,43,43,21.5,0,0,0.0,43,43,21.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/UntypedPCValueHandler.java,3,2,122,119,40.666666666666664,3,3,1.0,125,119,41.666666666666664,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ValueMapDiscriminatorStrategy.java,4,2,134,129,33.5,4,3,1.0,138,129,34.5,928,364.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/VerticalClassStrategy.java,2,1,151,151,75.5,0,0,0.0,151,151,75.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,3,2,709,707,236.33333333333334,3,3,1.0,712,707,237.33333333333334,928,472.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ColumnIO.java,3,2,306,287,102.0,4,4,1.3333333333333333,310,287,103.33333333333333,928,460.3333333333333
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Constraint.java,2,1,185,185,92.5,0,0,0.0,185,185,92.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java,6,2,295,281,49.166666666666664,26,18,4.333333333333333,321,281,53.5,928,243.16666666666666
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DriverDataSource.java,4,2,110,64,27.5,2,2,0.5,112,64,28.0,928,348.25
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory.java,2,1,143,143,71.5,0,0,0.0,143,143,71.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/FileSchemaFactory.java,2,1,100,100,50.0,0,0,0.0,100,100,50.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java,5,2,739,683,147.8,15,12,3.0,754,683,150.8,928,294.4
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Index.java,2,1,82,82,41.0,0,0,0.0,82,82,41.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LazySchemaFactory.java,2,1,190,190,95.0,0,0,0.0,190,190,95.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java,2,1,184,184,92.0,0,0,0.0,184,184,92.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/NameSet.java,4,2,77,73,19.25,2,1,0.5,79,73,19.75,928,374.25
