Release,File,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NSmells,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg,Buggy
0.9.6,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java,91,96,5,91,406,1,1,242,1264,0.90163934,0.0,0.0,61,3,15,34,12,0,28,0,0,0,11,2,0,11,0,0,5,0,16,769,36,22,107,2,43,56,26,109,3,69,4,0,2,0,338,1,10,206,19,4,3254,1619,171.26315789473685,1636,1502,86.10526315789474,4890,3121,257.36842105263156,928,182.05263157894737,Yes
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java,1,2,1,1,6,2,0,6,4,0.8333333,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,4,3,3,0,0,3,0,5,27,2,1,0,0,0,7,1,9,0,8,2,0,0,0,49,0,0,2,6,1,191,91,31.833333333333332,120,82,20.0,311,173,51.833333333333336,928,448.0,Yes
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Services.java,1,4,3,1,31,1,0,27,45,0.9,0.0,0.0,10,10,9,1,0,0,9,0,0,0,1,1,0,1,0,0,1,0,12,87,12,3,6,5,1,4,6,14,1,11,5,0,0,0,142,1,0,17,6,2,59,30,9.833333333333334,69,51,11.5,128,81,21.333333333333332,928,485.1666666666667,No
0.9.6,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java,19,21,2,19,62,5,0,59,126,0.89411765,0.0,0.0,17,3,11,6,0,0,11,0,0,0,5,5,4,1,0,0,5,0,18,252,34,3,13,1,5,17,6,38,4,29,3,0,2,0,195,1,0,42,19,3,660,392,34.73684210526316,146,63,7.684210526315789,806,424,42.421052631578945,928,152.89473684210526,Yes
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/DateId.java,2,6,4,2,12,2,0,6,0,0.1,0.0,0.0,10,0,8,0,2,0,10,0,0,0,1,0,0,1,0,0,1,0,2,35,5,0,2,0,1,0,2,2,0,1,0,0,0,0,22,17,0,1,4,1,141,72,35.25,69,68,17.25,210,140,52.5,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StringFieldStrategy.java,25,28,3,25,45,3,0,61,300,0.96,0.0,0.0,25,0,25,0,0,0,25,0,0,0,1,1,0,1,0,0,1,0,0,120,20,0,15,0,2,4,20,17,0,14,2,0,0,0,108,1,0,15,5,2,263,257,52.6,7,5,1.4,270,257,54.0,928,352.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstInstanceofExpression.java,8,9,1,8,6,1,0,10,0,0.3,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,24,1,0,0,0,0,2,1,2,0,2,1,0,0,0,45,0,0,2,5,2,96,77,19.2,29,18,5.8,125,77,25.0,928,335.6,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassMetaDataIterator.java,3,5,2,3,31,1,0,27,7,0.6285714,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,3,0,2,87,6,3,11,0,5,10,16,22,14,14,4,0,0,0,86,1,0,15,5,1,65,42,13.0,89,76,17.8,154,118,30.8,928,493.6,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,15,19,4,15,38,2,0,26,214,0.86904764,0.0,0.0,24,0,22,2,0,0,22,0,0,0,7,0,0,7,0,0,4,0,0,104,14,3,10,0,2,2,18,16,0,13,2,0,0,0,97,0,0,16,7,2,330,238,47.142857142857146,126,59,18.0,456,238,65.14285714285714,928,245.28571428571428,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/CopyOnWriteArrayList.java,4,10,6,4,106,1,0,30,170,0.68292683,0.0,0.0,41,3,34,5,0,2,36,0,2,0,2,1,0,2,0,0,1,0,34,763,51,13,18,1,5,9,92,103,23,92,3,0,3,0,101,1,0,159,5,1,363,196,72.6,663,546,132.6,1026,742,205.2,928,493.6,No
